timestamp,service,cpu_percent,memory_percent,disk_percent,active_connections,request_rate_per_min,error_rate_percent,p99_latency_ms
2026-03-01 00:00:00,api-gateway,29.6,33.4,68.4,186,126,1.09,263
2026-03-01 00:00:00,order-service,22.9,46.6,52.9,20,207,0.73,288
2026-03-01 00:00:00,payment-service,37.9,55.8,67.0,63,399,0.5,76
2026-03-01 00:00:00,inventory-service,22.4,46.8,66.2,168,433,0.31,288
2026-03-01 00:00:00,notification-service,18.3,34.9,64.0,55,261,0.05,238
2026-03-01 00:00:00,auth-service,42.4,53.5,52.4,181,492,1.47,113
2026-03-01 00:00:00,search-service,19.3,53.6,43.2,19,489,0.94,101
2026-03-01 00:05:00,api-gateway,38.6,43.8,49.2,68,164,0.05,99
2026-03-01 00:05:00,order-service,23.9,38.4,42.1,81,229,1.28,152
2026-03-01 00:05:00,payment-service,33.8,55.3,49.9,17,109,1.75,116
2026-03-01 00:05:00,inventory-service,16.2,58.9,48.0,37,355,0.87,236
2026-03-01 00:05:00,notification-service,37.5,43.1,69.5,39,247,1.8,98
2026-03-01 00:05:00,auth-service,18.9,51.3,40.1,147,401,1.44,239
2026-03-01 00:05:00,search-service,35.8,35.9,52.9,180,219,1.25,219
2026-03-01 00:10:00,api-gateway,39.7,51.6,49.0,89,391,0.82,153
2026-03-01 00:10:00,order-service,34.4,46.6,45.8,180,244,1.35,281
2026-03-01 00:10:00,payment-service,16.1,47.1,52.2,10,205,0.57,160
2026-03-01 00:10:00,inventory-service,37.5,48.2,49.7,123,276,1.35,180
2026-03-01 00:10:00,notification-service,26.6,57.0,63.9,53,387,0.17,181
2026-03-01 00:10:00,auth-service,33.2,48.6,42.8,70,394,0.62,256
2026-03-01 00:10:00,search-service,17.0,30.7,47.3,131,362,1.7,68
2026-03-01 00:15:00,api-gateway,25.9,56.6,57.3,193,406,0.77,152
2026-03-01 00:15:00,order-service,18.5,49.7,40.2,37,448,0.85,95
2026-03-01 00:15:00,payment-service,38.1,50.9,53.9,152,177,1.83,81
2026-03-01 00:15:00,inventory-service,26.0,54.0,60.0,153,354,0.63,243
2026-03-01 00:15:00,notification-service,41.2,48.4,61.6,139,268,1.66,190
2026-03-01 00:15:00,auth-service,25.6,34.8,65.8,125,182,1.5,265
2026-03-01 00:15:00,search-service,32.3,53.0,55.6,170,172,0.55,69
2026-03-01 00:20:00,api-gateway,35.0,37.0,50.1,148,91,0.28,109
2026-03-01 00:20:00,order-service,23.4,34.6,46.4,116,258,0.66,169
2026-03-01 00:20:00,payment-service,24.6,36.2,52.6,159,406,0.04,275
2026-03-01 00:20:00,inventory-service,36.8,41.4,40.2,100,202,1.51,268
2026-03-01 00:20:00,notification-service,41.2,55.1,56.1,198,329,1.6,279
2026-03-01 00:20:00,auth-service,17.7,36.6,53.1,17,249,0.67,223
2026-03-01 00:20:00,search-service,37.9,51.7,65.2,42,368,1.07,282
2026-03-01 00:25:00,api-gateway,23.8,46.9,40.8,174,269,0.27,168
2026-03-01 00:25:00,order-service,16.4,37.8,49.8,126,217,0.68,275
2026-03-01 00:25:00,payment-service,23.3,52.6,65.0,74,477,0.16,54
2026-03-01 00:25:00,inventory-service,36.2,31.6,68.6,67,382,0.14,295
2026-03-01 00:25:00,notification-service,32.8,52.6,68.5,61,479,0.04,89
2026-03-01 00:25:00,auth-service,18.3,44.2,43.4,65,288,1.4,246
2026-03-01 00:25:00,search-service,22.9,48.2,68.9,193,108,1.56,91
2026-03-01 00:30:00,api-gateway,43.8,33.2,40.8,89,344,1.35,295
2026-03-01 00:30:00,order-service,23.1,58.2,45.9,161,403,1.66,112
2026-03-01 00:30:00,payment-service,13.6,53.2,65.5,163,462,0.24,194
2026-03-01 00:30:00,inventory-service,37.4,40.4,52.9,104,85,1.01,137
2026-03-01 00:30:00,notification-service,10.4,42.6,54.7,120,235,1.27,262
2026-03-01 00:30:00,auth-service,26.1,34.6,45.3,143,383,0.54,256
2026-03-01 00:30:00,search-service,42.2,53.2,53.9,197,353,0.54,268
2026-03-01 00:35:00,api-gateway,18.6,58.0,48.4,125,174,1.5,195
2026-03-01 00:35:00,order-service,31.4,41.4,40.9,93,143,0.98,140
2026-03-01 00:35:00,payment-service,37.9,40.2,66.4,189,500,0.55,52
2026-03-01 00:35:00,inventory-service,28.1,35.7,47.2,114,300,1.11,111
2026-03-01 00:35:00,notification-service,34.2,49.4,54.7,14,97,0.59,153
2026-03-01 00:35:00,auth-service,34.2,39.2,57.4,131,333,1.06,158
2026-03-01 00:35:00,search-service,44.9,46.5,50.6,126,188,0.61,109
2026-03-01 00:40:00,api-gateway,14.2,35.8,43.6,147,440,1.38,99
2026-03-01 00:40:00,order-service,17.6,44.5,61.7,144,355,0.57,75
2026-03-01 00:40:00,payment-service,39.1,38.9,50.8,87,57,1.42,82
2026-03-01 00:40:00,inventory-service,19.6,59.2,56.6,188,114,1.28,242
2026-03-01 00:40:00,notification-service,27.2,56.2,57.2,130,295,0.88,97
2026-03-01 00:40:00,auth-service,43.8,37.6,65.9,39,470,0.13,175
2026-03-01 00:40:00,search-service,12.6,48.9,41.6,48,465,1.13,127
2026-03-01 00:45:00,api-gateway,13.0,37.4,56.7,116,360,1.19,208
2026-03-01 00:45:00,order-service,17.9,45.7,53.5,123,202,1.72,159
2026-03-01 00:45:00,payment-service,20.7,48.6,58.3,199,100,1.9,103
2026-03-01 00:45:00,inventory-service,31.9,37.9,42.4,71,138,1.1,90
2026-03-01 00:45:00,notification-service,10.1,43.5,57.8,84,66,0.46,230
2026-03-01 00:45:00,auth-service,19.9,55.8,42.1,69,185,1.58,210
2026-03-01 00:45:00,search-service,30.6,54.1,45.9,39,328,0.45,88
2026-03-01 00:50:00,api-gateway,41.8,54.8,42.1,52,455,0.62,241
2026-03-01 00:50:00,order-service,38.8,57.6,53.2,129,402,0.61,153
2026-03-01 00:50:00,payment-service,43.0,45.0,54.8,30,356,0.08,160
2026-03-01 00:50:00,inventory-service,35.7,48.1,40.8,68,395,1.67,197
2026-03-01 00:50:00,notification-service,30.5,30.6,62.9,78,345,0.08,243
2026-03-01 00:50:00,auth-service,16.1,45.6,53.3,81,142,1.99,161
2026-03-01 00:50:00,search-service,32.2,44.8,42.7,99,259,0.67,221
2026-03-01 00:55:00,api-gateway,13.7,34.8,52.3,136,197,1.33,152
2026-03-01 00:55:00,order-service,38.5,46.5,53.6,90,179,0.65,298
2026-03-01 00:55:00,payment-service,37.0,55.9,64.7,10,386,1.74,168
2026-03-01 00:55:00,inventory-service,24.5,35.6,50.9,137,370,0.88,63
2026-03-01 00:55:00,notification-service,17.1,46.5,67.8,122,500,1.4,81
2026-03-01 00:55:00,auth-service,11.0,48.9,64.0,191,131,0.62,53
2026-03-01 00:55:00,search-service,29.3,32.8,69.8,39,286,1.89,215
2026-03-01 01:00:00,api-gateway,39.1,45.0,61.5,140,411,0.55,263
2026-03-01 01:00:00,order-service,26.9,44.2,53.7,47,246,0.38,203
2026-03-01 01:00:00,payment-service,27.8,56.4,65.9,80,445,1.58,156
2026-03-01 01:00:00,inventory-service,21.9,53.6,48.0,10,194,1.45,264
2026-03-01 01:00:00,notification-service,30.5,60.0,54.7,48,278,1.08,138
2026-03-01 01:00:00,auth-service,21.6,52.9,51.3,92,495,0.38,228
2026-03-01 01:00:00,search-service,18.4,41.5,65.7,115,72,0.64,171
2026-03-01 01:05:00,api-gateway,34.7,54.3,51.6,179,455,1.64,88
2026-03-01 01:05:00,order-service,27.3,31.1,55.1,161,219,1.74,273
2026-03-01 01:05:00,payment-service,39.6,33.0,67.3,13,419,0.29,272
2026-03-01 01:05:00,inventory-service,32.9,34.6,54.1,77,223,1.25,151
2026-03-01 01:05:00,notification-service,32.7,55.6,65.6,146,244,1.91,210
2026-03-01 01:05:00,auth-service,35.2,52.8,66.2,19,366,0.14,211
2026-03-01 01:05:00,search-service,34.0,38.6,46.8,33,272,1.96,244
2026-03-01 01:10:00,api-gateway,32.2,56.2,53.3,187,203,1.81,61
2026-03-01 01:10:00,order-service,21.4,31.7,50.8,120,124,0.49,155
2026-03-01 01:10:00,payment-service,29.8,53.8,45.1,30,362,1.74,208
2026-03-01 01:10:00,inventory-service,33.9,44.9,57.5,69,286,1.28,167
2026-03-01 01:10:00,notification-service,18.9,30.3,64.1,83,396,1.09,68
2026-03-01 01:10:00,auth-service,25.5,40.4,57.6,173,267,1.38,166
2026-03-01 01:10:00,search-service,39.6,36.0,51.5,133,104,0.47,196
2026-03-01 01:15:00,api-gateway,22.6,38.9,61.0,15,474,1.32,120
2026-03-01 01:15:00,order-service,10.3,56.0,63.3,22,360,1.49,263
2026-03-01 01:15:00,payment-service,41.6,38.6,64.0,165,460,0.7,212
2026-03-01 01:15:00,inventory-service,16.7,37.5,62.7,178,398,1.68,210
